titulo,descripcion,url_lista_de_reproduccion,plataforma
Cap 06 Güipas y Guámbitos - Los encostalados del cerro,Gente y Blogs,https://www.youtube.com/watch?v=rLpTA1VKOCs,Señal Colombia
"Franja ""Anónimas extraordinarias"" - Si se capacita una mujer se capacita una nación",Gente y Blogs,https://www.youtube.com/watch?v=NhadlbKGVKQ,Señal Colombia
Today in replay 26 de julio,Deportes,https://www.youtube.com/watch?v=o8-8HqGEor0,Señal Deportes
Todo lo que vemos - 73 - Preguntas Frecuentes - Luminotécnico,Educación,https://www.youtube.com/watch?v=z5BHVSDrW48,Señal Colombia
"En cine nos vemos - Beatriz González ¿Por qué llora si ya reí? - Diego García Moreno, 2011",Película y Animación,https://www.youtube.com/watch?v=2lmyvQ-G4M8,Señal Colombia
Expresiones en vía de extinción Puesto 2 - El cóndor de los Andes,Entretenimiento,https://www.youtube.com/watch?v=a_N7Rj3wTSs,Señal Colombia
Paisaje de paisajes - Cap 01 Rastro púrpura,Gente y Blogs,https://www.youtube.com/watch?v=yddS85mxUU4,Señal Colombia
Torta de cerebro por: Kihara y Samuel,Película y Animación,https://www.youtube.com/watch?v=iP-OB1YRgAQ,Mi Señal
Molang - Hacer deportes con mi mejor amigo,Película y Animación,https://www.youtube.com/watch?v=r6j6ik06vWg,Mi Señal
Regio?n Mundo - Capi?tulo 2 - Fragmentacio?n,Gente y Blogs,https://www.youtube.com/watch?v=I-dHuJptUvY,Señal Colombia
Nuestros deportistas - Selección de fútbol femenino,Deportes,https://www.youtube.com/watch?v=Vgf3FXs5ueY,Señal Colombia
